probe,f,T,b,mu_real,mu_imag
R29.5x19x14.9,142007.5,30.218,0.2298306919806854,4709.941318309392,1488.1700231794846
R29.5x19x14.9,142007.5,30.212,0.2309642986601507,4719.254519527419,1488.7454014037628
R29.5x19x14.9,142007.5,30.216,0.2320524566608087,4736.948280189424,1498.1241812807364
R29.5x19x14.9,142007.5,30.228,0.2327414808467678,4744.291620791527,1507.0874172227486
R29.5x19x14.9,142007.5,30.22,0.2333656920695886,4733.757472088014,1504.6001152789174
R29.5x19x14.9,142007.5,30.238,0.2352239969081542,4763.173912119499,1506.8618987559928
R29.5x19x14.9,142007.5,30.23,0.2355186820687469,4764.921989150097,1517.5451784215115
R29.5x19x14.9,142007.5,30.23,0.2368172369063275,4770.939054947101,1517.3691541090525
R29.5x19x14.9,142007.5,30.243,0.2375208676126854,4771.886437274276,1518.476729362402
R29.5x19x14.9,142007.5,30.249,0.2387340418772887,4802.6360716746,1531.5775449319046
R29.5x19x14.9,142007.5,30.241,0.2399644329530084,4811.29225556984,1532.638375308307
R29.5x19x14.9,142007.5,30.251,0.2405726492029211,4821.811051000441,1540.300017729456
R29.5x19x14.9,142007.5,30.228,0.2407638113444137,4810.208005064604,1542.5038292750005
R29.5x19x14.9,142007.5,30.235,0.2424737554041762,4841.638293370166,1547.9943739167063
R29.5x19x14.9,142007.5,30.235,0.2432415511291679,4844.806911328773,1547.3429622366573
R29.5x19x14.9,142007.5,30.245,0.2452810397638587,4887.113599387928,1556.3791172482815
R29.5x19x14.9,142007.5,30.247,0.2455308316266477,4881.901330982812,1557.068565367214
R29.5x19x14.9,142007.5,30.237,0.2466059751991177,4902.517843183914,1563.3066989288925
R29.5x19x14.9,141857.5,30.258,0.247511807591281,4904.194625740613,1562.3436034434783
R29.5x19x14.9,189111.5,30.201,0.0364805488728735,3960.248882520046,477.8837595643161
R29.5x19x14.9,187411.5,30.195,0.0436083547277468,3981.465092137488,535.2450834820999
R29.5x19x14.9,185961.5,30.178,0.0505094358205025,4051.11437923993,584.4003570011395
R29.5x19x14.9,184611.5,30.189,0.0571779758377975,4115.201943792046,639.1959215309014
R29.5x19x14.9,183561.5,30.174,0.0633324574560096,4169.7477666790965,685.7160688208709
R29.5x19x14.9,182661.5,30.172,0.0688568094728225,4202.806897670234,725.0375638508425
R29.5x19x14.9,181761.5,30.176,0.0745292038311299,4242.065761002062,764.1232378176509
R29.5x19x14.9,180411.5,30.182,0.0805711645258268,4311.355690883547,821.169045968654
R29.5x19x14.9,179661.5,30.273,0.0864196754107276,4350.487838593387,868.5169057985061
R29.5x19x14.9,179061.5,30.188,0.0913054420130177,4363.687983212472,902.4503118328222
R29.5x19x14.9,178161.5,30.178,0.0969134819904767,4428.2098113777065,940.0322826380728
R29.5x19x14.9,177761.5,30.19,0.1007568818577199,4415.630582720128,970.7535144163988
R29.5x19x14.9,177161.5,30.19,0.106380340136682,4482.189495931456,997.663161495596
R29.5x19x14.9,176861.5,30.182,0.1105051777246998,4498.605090228047,1026.8776132608955
R29.5x19x14.9,176411.5,30.182,0.1152670730535105,4532.403320796287,1056.1030995553124
R29.5x19x14.9,175961.5,30.184,0.1189266806584915,4513.313175375958,1078.442744681886
R29.5x19x14.9,175511.5,30.186,0.123363548016592,4547.254906568718,1110.0956845706717
R29.5x19x14.9,174911.5,30.2,0.1277270812791508,4555.950677859943,1140.1500004410173
R29.5x19x14.9,174761.5,30.2,0.1311494567421164,4558.60253987558,1160.0808874393929
R29.5x19x14.9,174461.5,30.194,0.1352193250470515,4602.553713522506,1192.4859440317514
R29.5x19x14.9,174161.5,30.204,0.1392553636824511,4608.332768280607,1211.9389631311517
R29.5x19x14.9,174011.5,30.196,0.142593288089306,4619.876834939668,1239.6192623371012
R29.5x19x14.9,173711.5,30.202,0.1460858713408442,4626.522947027031,1262.2969763807755
R29.5x19x14.9,173411.5,30.187,0.1497401845758567,4636.185640167866,1280.7504383036623
R29.5x19x14.9,173261.5,30.194,0.1532591031980731,4640.850829355859,1293.6812243597792
R29.5x19x14.9,173111.5,30.208,0.1562841682481442,4635.612382914161,1312.2160300719413
R29.5x19x14.9,172961.5,30.194,0.1593215936471607,4652.62981669437,1317.8205690464067
R29.5x19x14.9,172961.5,30.206,0.161745592364927,4640.476082269426,1332.0881137589288
R29.5x19x14.9,172961.5,30.215,0.1641023025392984,4644.525331507753,1345.0670470509126
R29.5x19x14.9,172811.5,30.192,0.1680794268720078,4683.850537783619,1361.0658035323838
R29.5x19x14.9,172661.5,30.204,0.1701602888597983,4662.57113322115,1373.8396610627688
R29.5x19x14.9,172511.5,30.213,0.1729486694867842,4659.58490594705,1384.140900756541
R29.5x19x14.9,172211.5,30.211,0.1765506587917295,4671.475971070052,1407.0024316648166
R29.5x19x14.9,172061.5,30.211,0.1795103929456014,4662.109179561619,1407.373258662124
R29.5x19x14.9,172061.5,30.217,0.18189874309857,4674.106823232276,1424.6974587461896
R29.5x19x14.9,172061.5,30.209,0.1832393452849987,4646.364165580244,1432.035366536934
R29.5x19x14.9,171911.5,30.219,0.1859831430480894,4658.709468905453,1441.7480131406753
R29.5x19x14.9,171761.5,30.221,0.1876987160233943,4640.381770611797,1447.7719615090666
R29.5x19x14.9,171761.5,30.223,0.1889759520394109,4615.597587003124,1451.5909464920812
R29.5x19x14.9,171761.5,30.229,0.1911805800533959,4622.974054136057,1459.0078027595598
R29.5x19x14.9,171761.5,30.238,0.192593134394808,4615.107669941918,1470.065185162
R29.5x19x14.9,171761.5,30.229,0.194055539633835,4613.601349841149,1482.4961136420554
R29.5x19x14.9,171761.5,30.236,0.1953552751338842,4602.061044298452,1487.049035561039
R29.5x19x14.9,171761.5,30.24,0.1971223723651799,4606.722893192786,1491.0701021666016
R29.5x19x14.9,171761.5,30.238,0.198718351071657,4608.47545190951,1492.9462059070104
R29.5x19x14.9,171611.5,30.229,0.2000784664724627,4582.922077816292,1493.9458723215157
R29.5x19x14.9,171611.5,30.229,0.2014231967544703,4584.954989433996,1499.959120102805
R29.5x19x14.9,171611.5,30.25,0.202597026602146,4585.655768457628,1509.304397179293
