probe,f,T,b,mu_real,mu_imag
MH8,241183.2,89.612,0.0743514224886894,3363.583473498904,509.69471930062326
MH8,241183.2,89.6,0.0832761004567146,3441.1474255884013,561.3714076006563
MH8,241183.2,89.633,0.0898560211062431,3396.4317799545697,604.1810727740486
MH8,241183.2,89.636,0.0977941453456878,3405.157862472825,648.2010289973675
MH8,241183.2,89.655,0.1057179644703865,3401.450201248898,701.2337424889581
MH8,241183.2,89.638,0.1135399341583252,3410.1929685533214,751.8107423502468
MH8,241183.2,89.64,0.1227095276117324,3406.7198579645374,793.6805462922152
MH8,241183.2,89.655,0.131294384598732,3400.420234748148,836.5355341196367
MH8,241183.2,89.632,0.1405307650566101,3414.396323775841,882.1297307102295
MH8,241183.2,89.635,0.1497060507535934,3387.296585330739,907.6051127284766
MH8,241183.2,89.637,0.1590206325054168,3406.677942767836,963.3309187142725
MH8,241183.2,89.638,0.1684778332710266,3377.781764678069,984.030420420876
MH8,241183.2,89.628,0.1777695715427398,3348.5066704908577,1016.6659316946636
MH8,241183.2,89.623,0.1877468079328537,3344.878580388701,1057.2708784639533
MH8,241183.2,89.632,0.1979425102472305,3319.4327357965963,1072.163108569452
MH8,241183.2,89.638,0.2087094485759735,3292.799322505318,1096.3473310435336
MH8,241183.2,89.652,0.2200390100479126,3268.7750554545128,1124.523059520643
MH8,241183.2,89.683,0.2327436059713363,3202.157579277886,1119.958840877036
MH8,241183.2,89.711,0.24638631939888,3129.187083131076,1105.099640263709
MH8,212374.0,89.615,0.0097341537475585,2931.317058924054,93.353751299874
MH8,208974.0,89.62,0.0198637004941701,3110.6939087608253,164.01642687977477
MH8,206174.0,89.61,0.0317532792687416,3271.3160905007235,219.7255865653113
MH8,204374.0,89.643,0.0423931553959846,3342.6837421064,267.27018672892206
MH8,203374.0,89.621,0.0524135641753673,3350.274195753506,312.94042980403805
MH8,202574.0,89.634,0.0626363679766655,3395.210413280517,365.60692269768464
MH8,201774.0,89.669,0.0721171200275421,3413.213905151768,408.6595694169186
MH8,201774.0,89.648,0.0806176587939262,3455.898290474868,454.3166504020609
MH8,201374.0,89.638,0.0877747163176536,3426.6298490244008,505.1708962020735
MH8,201374.0,89.624,0.0959473326802253,3446.298703842156,553.6934665889257
MH8,200774.0,89.631,0.105074793100357,3463.6395672224844,602.971105948837
MH8,200774.0,89.65,0.1135227307677269,3473.4976443416413,648.3258239411339
MH8,200774.0,89.648,0.121463842689991,3450.258422238985,688.5261694006473
MH8,200374.0,89.652,0.1316984146833419,3479.022186578076,750.2242285994503
MH8,200374.0,89.643,0.1398677825927734,3442.7694258680194,785.8444381184885
MH8,200374.0,89.645,0.1491425037384033,3457.006532638623,830.7143188029963
MH8,200374.0,89.631,0.1585072129964828,3479.8261411191565,874.9651119994436
MH8,200374.0,89.619,0.1682318300008773,3460.328205665092,914.3574277496268
MH8,200374.0,89.608,0.1780886203050613,3475.167472978888,966.437995840562
MH8,200374.0,89.629,0.1883471608161926,3457.0406230386243,998.612943753023
MH8,200374.0,89.657,0.1985975056886673,3439.210350641861,1031.2715448999004
MH8,200374.0,89.678,0.2092041820287704,3386.4682613561954,1046.1743518371495
MH8,200374.0,89.678,0.2208579182624817,3364.726753339612,1076.050575998846
MH8,200374.0,89.702,0.2328768074512481,3296.639454314027,1064.1319607537437
MH8,200374.0,89.695,0.2471223771572113,3211.8928480927807,1050.0955978004076
MH8,200374.0,89.702,0.2650166749954223,3059.6450172607824,989.8862132083692
