probe,f,T,eps_real,eps_imag
SY4,32688.3,112,156991.2658373282,370239.8451494616
SY4,32972.2,112,156841.09326789848,367394.2562024028
SY4,33258.5,112,156667.7395671058,364578.5971107417
SY4,33547.3,112,156513.5571184017,361787.16286908113
SY4,33838.6,112,156356.64818852994,359011.21211446554
SY4,34132.4,112,156185.348206493,356266.34586781723
SY4,34428.7,112,156029.4915355351,353547.26382073923
SY4,34727.7,112,155864.79969598708,350858.95308691537
SY4,35029.2,112,155703.75054628955,348181.1703466507
SY4,35333.4,112,155533.96879622582,345531.85251062585
SY4,35640.2,112,155368.5573785842,342912.08161686454
SY4,35949.6,112,155203.10961747536,340324.43045302125
SY4,36261.8,112,155031.80763125143,337744.737505011
SY4,36576.7,112,154855.66244413066,335175.2309389988
SY4,36894.3,112,154694.4385833046,332653.8533590375
SY4,37214.6,112,154505.21658169714,330131.75777061394
SY4,37537.7,112,154339.25980266667,327652.09404788114
SY4,37863.7,112,154169.38510933696,325186.6361633438
SY4,38192.4,112,153988.6445995189,322745.32503016625
SY4,38524.1,112,153827.9754902433,320320.24705285893
SY4,38858.6,112,153645.82010644887,317932.1818318807
SY4,39196.0,112,153467.23035534905,315538.74834060296
SY4,39536.3,112,153281.150399716,313185.9327027066
SY4,39879.6,112,153109.52808283412,310841.85960379
SY4,40225.9,112,152920.95690596438,308520.88241265615
SY4,40575.2,112,152753.79734602955,306237.50303573115
SY4,40927.5,112,152561.89876579042,303949.8543883615
SY4,41282.9,112,152392.070672874,301695.48982053186
SY4,41641.3,112,152204.91513657532,299458.94637651567
SY4,42002.9,112,152020.2322356979,297242.42596756347
SY4,42367.6,112,151835.1046175857,295050.1903195477
SY4,42735.5,112,151648.11515308992,292867.8157109557
SY4,43106.5,112,151457.86912081402,290716.15882488637
SY4,43480.8,112,151265.0408862833,288567.6243636976
SY4,43858.4,112,151086.93251330874,286439.46443722397
SY4,44239.2,112,150892.0800254318,284341.9996744481
SY4,44623.3,112,150706.29409313164,282263.2214459843
SY4,45010.8,112,150504.97297058374,280192.5093701292
SY4,45401.6,112,150318.04443021805,278144.3088469962
SY4,45795.8,112,150129.66557155972,276121.6244355609
SY4,46193.5,112,149933.7218296661,274104.81492277747
SY4,46594.6,112,149742.55042109918,272116.25451931666
SY4,46999.2,112,149548.8576211944,270132.3085771913
SY4,47407.3,112,149349.2291988391,268176.6867432714
SY4,47818.9,112,149164.5202154539,266231.42021754535
SY4,48234.1,112,148951.7962949672,264297.23592126265
SY4,48652.9,112,148762.0154824554,262400.3495763642
SY4,49075.4,112,148561.34062828287,260502.23792027743
SY4,49501.5,112,148361.51962608966,258636.0087421626
SY4,49931.3,112,148161.03876656533,256773.52997112554
SY4,50364.9,112,148008.4875787097,254929.99804412454
SY4,50802.2,112,147761.48991054864,253106.81203931803
SY4,51243.3,112,147582.4211601141,251312.93090417015
SY4,51688.2,112,147364.36419187236,249516.35175118392
SY4,52137.0,112,147149.24258445812,247739.90030527886
SY4,52589.8,112,146932.79102099867,245987.86318948717
SY4,53046.4,112,146725.33243906416,244229.61488195628
SY4,53507.0,112,146529.94480998293,242497.63295807427
SY4,53971.6,112,146310.417406851,240786.97092747915
SY4,54440.2,112,146072.0411051663,239091.36120705248
SY4,54912.9,112,145865.66097409252,237401.02055991272
SY4,55389.7,112,145654.17531446985,235744.92763346998
SY4,55870.7,112,145448.7793422722,234083.74712099627
SY4,56355.8,112,145241.49277479132,232443.1005387302
SY4,56845.1,112,145062.1541278998,230827.1500151098
SY4,57338.7,112,144870.63359176682,229191.02104418108
SY4,57836.6,112,144635.0210761159,227589.4830952695
SY4,58338.8,112,144438.89414069793,226011.81307902135
SY4,58845.3,112,144241.16122180352,224447.69949478508
SY4,59356.3,112,144167.38358957195,222982.7975582032
SY4,59871.7,112,143801.15246434286,221344.6952725632
